"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"펜라이트","서울시 광진구 아차산로 219(화양동 48-14)","가동중","49.3","380","60","2013","2022-12-02"
"두바이 태양광발전소","서울시 강동구 천중로29길 14(천호동 105-4)","가동중","10","220","60","2015","2022-12-02"
"임대발전소","서울시 동대문구 천장산로7길 26-9(이문동 264-246)","가동중","12","380","60","2014","2022-12-02"
"이원 태양광발전소","서울시 강북구 도봉로30길 16(미아동 134-97)","가동중","12","380","60","2013","2022-12-02"
"강평환 태양광발전소","서울시 강서구 양천로18길 15(방화동 575-20)","가동중","19.5","220","60","2014","2022-12-02"
"백제발전소","서울시 은평구 통일로 1190-1(진관동 36-1, 백제운수)","가동중","49.5","380","60","2013","2022-12-02"
"안전한 발전소","서울시 은평구 통일로 1190-1(진관동 36-1, 백제운수)","가동중","49.5","380","60","2013","2022-12-02"
"도봉햇빛나눔발전소1호(창도초등학교)","서울시 도봉구 방학로 32-28(방학동 722-2, 창도초등학교)","가동중","99.75","380","60","2013","2022-12-02"
"에이치앤씨 발전소","서울시 강서구 월정로28가길 19-20(화곡동 359-51)","가동중","15","220","60","2014","2022-12-02"
"에너비스솔라제1태양광발전소","서울시 성북구 종암로 58(종암동 10-15)","가동중","33.75","380","60","2014","2022-12-02"
"하나 태양광발전소","서울시 송파구 삼학사로14길 26(석촌동 16-8)","가동중","17.85","220","60","2013","2022-12-02"
"블루힐65 태양광발전소","서울시 서초구 반포대로30길 9(서초동 1553-15)","가동중","21.6","380","60","2014","2022-12-02"
"노원햇빛과 바람 발전소1호(노원구청 주차장)","서울시 노원구 노해로 437(상계동 701-1, 노원구청 주차장)","가동중","30","380","60","2013","2022-12-02"
"광평 태양광발전소","서울시 영등포구 당산로27길 13(당산동3가 464)","가동중","9.36","220","60","2014","2022-12-02"
"서대문청소년수련관 태양광발전소","서울시 서대문구 연희로32길 129(연희동 167-1)","가동중","58.5","380","60","2014","2022-12-02"
"영등포구햇빛발전소1 태양광발전소(영등포문화원)","서울시 영등포구 신길로 275(영등포동 582-3, 영등포문화원)","가동중","50","380","60","2014","2022-12-02"
"영등포구햇빛발전소2 태양광발전소(대림3빗물펌프장)","서울시 영등포구 도신로 1-16(대림동 611, 대림3빗물펌프장)","가동중","50","380","60","2014","2022-12-02"
"The-k서울호텔 태양광발전소 ","서울시 서초구 바우뫼로12길 70(양재동 202, 서울호텔)","가동중","94.24","380","60","2014","2022-12-02"
"정윤석 태양광발전소","서울시 도봉구 도봉로141길 11(쌍문동 707-4)","가동중","19.5","380","60","2015","2022-12-02"
"OCI 군자태양광발전소(군자차량기지)","서울시 성동구 용답길 86(용답동 127, 군자차량기지)","가동중","998.28","22900","60","2013","2022-12-02"
"강동햇빛나눔발전소1호(대명초등학교)","서울시 강동구 상암로 271(명일2동 234, 대명초등학교)","가동중","99.75","380","60","2014","2022-12-02"
"강동햇빛나눔발전소2호(성내중학교)","서울시 강동구 성안로7길 36(성내동 530, 성내중학교)","가동중","99.75","380","60","2014","2022-12-02"
"경산 태양광발전소","서울시 동작구 신대방3길 14(신대방동 691-21)","가동중","9","220","60","2014","2022-12-02"
"강동햇빛나눔발전소5호(서울묘곡초등학교)","서울시 강동구 동남로79길46(고덕동 498, 서울묘곡초등학교)","가동중","99.75","380","60","2014","2022-12-02"
"열린 태양광발전소","서울시 금천구 가산로5길 33(가산동 234-32)","가동중","18","220","60","2014","2022-12-02"
"진성 태양광발전소","서울시 성북구 보문로18길 34(안암동 3가 112)","가동중","6","220","60","2014","2022-12-02"
"황금종 태양광발전소 (황금종교회)","서울시 동작구 남부순환로 2057-4(사당동 1046-14)","가동중","30","380","60","2014","2022-12-02"
"에이스 태양광발전소 ","서울시 구로구 디지털로31길 19(구로동 197-7)","가동중","30.75","380","60","2014","2022-12-02"
"연세대학교 태양광발전소 ","서울시 서대문구 연세로50(신촌동 134, 연세대학교 과학관)","가동중","97.6","380","60","2014","2022-12-02"
"강남주민편익시설 태양광발전소","서울시 강남구 남부순환로 3318(일원동 4-1, 강남주민편익시설)","가동중","77.88","380","60","2014","2022-12-02"
"익준A 태양광발전소","서울시 구로구 서해안로 2295(오류동160-2, 160-5)","가동중","19.5","380","60","2016","2022-12-02"
"익준B 태양광발전소 ","서울시 구로구 서해안로 2293(오류동 160)","가동중","50","380","60","2014","2022-12-02"
"강동햇빛나눔발전소3호(신명초등학교)","서울시 강동구 명일로24길 33","가동중","76","380","60","2014","2022-12-02"
"서울나눔발전소3호(구의역 2단계)","서울시 광진구 아차산로 384-1(구의동 245-24, 구의역)","가동중","99.75","380","60","2014","2022-12-02"
"서울나눔발전소4호(건대입구역)","서울시 광진구 아차산로 229(화양동 7-3,건대입구역)","가동중","99.75","380","60","2014","2022-12-02"
"서울나눔발전소5호(구로디지털단지역)","서울시 구로구 구로3동 124(구로디지털단지역)","가동중","99.75","380","60","2014","2022-12-02"
"대원 발전소","서울시 용산구 장문로9길 37(동빙고동 1-43)","가동중","15","380","60","2014","2022-12-02"
"힐링 태양광발전소","서울시 관악구 조원로 170(신림4동 468-1)","가동중","28","380","60","2014","2022-12-02"
"금당 태양광발전소","서울시 광진구 아차산로57길 19(구의동 242-125)","가동중","11","220","60","2014","2022-12-02"
"공릉 태양광발전소","서울시 노원구 공릉로 223(공릉동 440-16)","가동중","40.5","380","60","2014","2022-12-02"
"광성중학교 태양광발전소","서울시 마포구 신수로8길 20(신수동 91-20, 광성중학교)","가동중","73.78","380","60","2014","2022-12-02"
"한국아이씨엠 태양광발전소","서울시 서초구 샘마을길 4-5(내곡동 1-2216)","가동중","18","380","60","2015","2022-12-02"
"홍제 햇빛발전소 (원불교 홍제교당)","서울시 서대문구 홍제원6길 14-12(홍제동 122-35)","가동중","13.005","220","60","2014","2022-12-02"
"상원초 마을햇빛발전소(상원초등학교)","서울시 노원구 한글비석로54길 119(상계동 645, 상원초등학교)","가동중","37.2","380","60","2014","2022-12-02"
